PRICE_USD,BEDROOMS,BATHROOMS,PARKING_SPOTS,CONSTRUCTION_AREA_SQM,LATITUDE,LONGITUDE,CITY_Guayaquil,CITY_Manta,CITY_Quito
297000,2,2,2,143.0,-0.1177809,-78.335622,0.0,0.0,1.0
189000,3,4,3,240.0,-0.220200383327563,-78.42212758120658,0.0,0.0,1.0
214000,3,3,2,180.0,-0.170901258072999,-78.36224551,0.0,0.0,1.0
234000,3,3,2,230.0,-0.172016799999999,-78.3618319,0.0,0.0,1.0
1600000,5,6,6,2000.0,-0.195232857995,-78.4159303794,0.0,0.0,1.0
240000,3,3,5,528.0,-0.305498326335,-78.4716431423,0.0,0.0,1.0
119900,4,2,2,185.0,-0.291718635677383,-78.47772351599916,0.0,0.0,1.0
69000,3,2,1,141.0,-0.3301626,-78.4510729,0.0,0.0,1.0
260000,2,3,2,287.0,-0.1804328,-78.43793000000001,0.0,0.0,1.0
238000,4,4,3,1300.0,-0.069734099999999,-78.4595644,0.0,0.0,1.0
220000,3,2,2,224.0,-0.201202899999999,-78.4499087,0.0,0.0,1.0
136900,6,3,4,303.0,-0.005892279732293,-78.44901571468507,0.0,0.0,1.0
490000,5,5,10,992.0,-0.202980702348662,-78.43722988625382,0.0,0.0,1.0
85000,4,2,2,348.0,-0.0831651,-78.4732399,0.0,0.0,1.0
250000,3,3,2,212.0,-0.1997595,-78.4412918,0.0,0.0,1.0
73500,3,2,1,122.0,-0.0841772,-78.41888809999999,0.0,0.0,1.0
620000,4,3,7,2571.0,-0.1257235,-78.4734507,0.0,0.0,1.0
210000,3,3,6,448.0,-0.270518499999999,-78.4695111,0.0,0.0,1.0
1600000,4,4,4,1399.0,-0.2009974,-78.43303809999999,0.0,0.0,1.0
290000,4,5,2,598.0,-0.1632633,-78.4629544,0.0,0.0,1.0
1300000,6,5,10,5000.0,0.046064978337837,-78.34999254232393,0.0,0.0,1.0
105000,2,2,1,193.0,-0.141020645592759,-78.4697107312134,0.0,0.0,1.0
900000,3,3,5,2026.0,-0.197413990414999,-78.4157861316,0.0,0.0,1.0
144000,4,3,2,224.0,-0.207407998018,-78.4027010895,0.0,0.0,1.0
94500,5,3,4,257.0,-0.2793302,-78.5550406,0.0,0.0,1.0
100000,4,2,2,151.0,-0.30145004588028,-78.46317655819702,0.0,0.0,1.0
650000,5,4,2,1108.0,-0.197281281453492,-78.4360221818823,0.0,0.0,1.0
105000,3,2,2,171.0,-0.32848535885,-78.463415364,0.0,0.0,1.0
295000,3,3,3,366.0,-0.172016799999999,-78.3618319,0.0,0.0,1.0
309000,7,5,2,486.0,-0.157798090165454,-78.4935654467718,0.0,0.0,1.0
580000,3,4,4,1986.0,-0.1980156,-78.4220216,0.0,0.0,1.0
85000,3,2,1,140.0,-0.27545857077069,-78.45799789210015,0.0,0.0,1.0
55555,3,1,1,99.0,-0.088203030821662,-78.45635024865723,0.0,0.0,1.0
1150000,6,5,4,1703.0,-0.186388682229189,-78.44772884208373,0.0,0.0,1.0
95000,3,2,2,203.0,-0.0833302,-78.4162787,0.0,0.0,1.0
540000,4,4,3,1847.0,-0.21498,-78.4192433,0.0,0.0,1.0
358000,3,3,5,631.0,-0.220063918432752,-78.40339156150718,0.0,0.0,1.0
365000,3,3,5,900.0,-0.210691,-78.39559860000001,0.0,0.0,1.0
219000,3,2,2,287.0,-0.203972823338938,-78.42137922009888,0.0,0.0,1.0
145000,4,3,1,337.0,-0.318706197247999,-78.4717973712,0.0,0.0,1.0
239990,3,2,2,161.0,-0.202393929581897,-78.43017589893492,0.0,0.0,1.0
79000,4,2,1,156.0,-0.097567,-78.4659334,0.0,0.0,1.0
265000,4,4,2,171.0,-0.204965139722367,-78.42289202645874,0.0,0.0,1.0
207360,3,3,2,167.0,-0.18286451808371,-78.36564498087859,0.0,0.0,1.0
254000,4,3,2,248.0,-0.201498460699999,-78.4328712116,0.0,0.0,1.0
535000,3,3,2,760.0,-0.155189152383822,-78.37666965863001,0.0,0.0,1.0
320000,3,3,4,500.0,-0.305394226024999,-78.4723709199,0.0,0.0,1.0
250000,4,3,4,500.0,-0.3053689,-78.44675939999999,0.0,0.0,1.0
639000,4,4,3,591.0,-0.2124452,-78.4375362,0.0,0.0,1.0
119000,3,2,2,196.0,-0.19379572727676,-78.39704279525446,0.0,0.0,1.0
268000,3,3,2,240.0,-0.210690999999999,-78.3955986,0.0,0.0,1.0
128000,3,2,2,217.0,-0.3082103,-78.489289,0.0,0.0,1.0
599000,4,6,4,660.0,-0.1665679,-78.4955154,0.0,0.0,1.0
140000,3,3,2,153.0,-0.284362888117,-78.4525079716,0.0,0.0,1.0
349500,6,4,2,1528.0,-0.3062205,-78.4149763,0.0,0.0,1.0
249000,4,3,2,405.0,-0.1045366,-78.50495149999999,0.0,0.0,1.0
830000,4,4,4,1623.0,-0.199204021783,-78.4520566307,0.0,0.0,1.0
650000,3,5,8,2380.0,-0.2320259,-78.3369554,0.0,0.0,1.0
77500,3,2,1,95.0,-0.127196499999999,-78.5036225,0.0,0.0,1.0
185000,3,2,2,385.0,-0.326030478372517,-78.42906883809816,0.0,0.0,1.0
199000,3,3,2,180.0,-0.225632905401343,-78.44572207679899,0.0,0.0,1.0
75000,3,2,1,158.0,-0.076365399999999,-78.42031750000001,0.0,0.0,1.0
355000,5,4,4,566.0,-0.2067855,-78.48088709999999,0.0,0.0,1.0
97000,4,3,2,160.0,-0.154630254323784,-78.4753476557892,0.0,0.0,1.0
415000,3,3,2,455.0,-0.1939295,-78.3563501,0.0,0.0,1.0
288100,3,2,2,271.0,-0.204013060289999,-78.4490374429,0.0,0.0,1.0
90500,3,2,1,110.0,-0.0857708,-78.47858389999999,0.0,0.0,1.0
92000,3,3,1,160.0,-0.31149914085,-78.4950647333,0.0,0.0,1.0
82000,3,2,3,104.0,-0.3301626,-78.4510729,0.0,0.0,1.0
155000,3,3,2,125.0,-0.346595521103999,-78.4547966618,0.0,0.0,1.0
250000,12,7,4,640.0,-0.244494712012132,-78.51894965889386,0.0,0.0,1.0
142000,3,2,2,171.0,-0.211377640849999,-78.4026581741,0.0,0.0,1.0
164900,3,3,4,209.0,-0.30645466899,-78.4383079712,0.0,0.0,1.0
122000,3,3,2,210.0,-0.13052404705505,-78.44220787357177,0.0,0.0,1.0
85000,4,2,1,149.0,-0.094730327253564,-78.45790561821289,0.0,0.0,1.0
629000,4,4,4,604.0,-0.1567015,-78.38341609999998,0.0,0.0,1.0
190000,9,6,2,230.0,-0.243755074704778,-78.50846743551254,0.0,0.0,1.0
159000,3,3,2,140.0,-0.214334334624,-78.4003902222,0.0,0.0,1.0
180000,4,3,2,316.0,-0.216727399999999,-78.3844162,0.0,0.0,1.0
85000,4,3,2,130.0,-0.097567,-78.4659334,0.0,0.0,1.0
467000,5,5,5,2000.0,-0.278382599999999,-78.5409063,0.0,0.0,1.0
399000,4,6,6,550.0,-0.1212732,-78.4894015,0.0,0.0,1.0
250000,8,2,6,360.0,-0.151370649204861,-78.4889827632294,0.0,0.0,1.0
895000,5,5,6,905.0,-0.224756402486,-78.3996326424,0.0,0.0,1.0
81990,3,2,1,179.0,-0.114193699999999,-78.4380215,0.0,0.0,1.0
105000,3,2,2,130.0,-0.263743529360301,-78.47244573395791,0.0,0.0,1.0
178000,3,2,2,185.0,-0.20841380129229,-78.40412223646595,0.0,0.0,1.0
225000,9,9,1,402.0,-0.254475828296,-78.5405818534,0.0,0.0,1.0
219000,6,6,4,580.0,-0.040091799999999,-78.4549279,0.0,0.0,1.0
439000,3,2,6,1648.0,-0.1671741,-78.4340229,0.0,0.0,1.0
90000,4,3,1,118.0,-0.069734099999999,-78.4595644,0.0,0.0,1.0
88000,3,2,1,140.0,-0.313856627473541,-78.47360404922733,0.0,0.0,1.0
91500,2,2,1,128.0,-0.2801221,-78.4804805,0.0,0.0,1.0
445000,3,3,2,440.0,-0.2256893,-78.3922181,0.0,0.0,1.0
265000,3,3,4,951.0,-0.299894111,-78.4505769468,0.0,0.0,1.0
105000,4,3,1,290.0,-0.107711924493102,-78.50463894348471,0.0,0.0,1.0
80000,3,2,1,182.0,-0.077314695323511,-78.4207950550171,0.0,0.0,1.0
590000,3,4,7,2121.0,-0.155601999999999,-78.3728456,0.0,0.0,1.0
900000,4,4,2,1230.0,-0.200997399999999,-78.43303809999999,0.0,0.0,1.0
163000,4,3,2,339.0,-0.074409182607997,-78.49113582614747,0.0,0.0,1.0
289900,4,3,4,900.0,-0.0875297,-78.4689224,0.0,0.0,1.0
320000,3,3,2,406.0,-0.200263178571,-78.3875813475,0.0,0.0,1.0
465000,4,5,4,980.0,-0.2449654,-78.5029992,0.0,0.0,1.0
365000,3,4,2,395.0,-0.189410324323,-78.4259356105,0.0,0.0,1.0
650000,3,3,4,2140.0,-0.185289,-78.4148898,0.0,0.0,1.0
399000,3,3,2,470.0,-0.1587763,-78.36654659999999,0.0,0.0,1.0
750000,5,5,4,1200.0,-0.1768556,-78.3585117,0.0,0.0,1.0
143976,3,2,2,211.0,-0.218168457517,-78.3849337,0.0,0.0,1.0
78500,3,1,1,104.0,-0.262900886803809,-78.51956029625596,0.0,0.0,1.0
220000,3,3,2,177.0,-0.203081320935048,-78.42803589364013,0.0,0.0,1.0
1200000,5,7,10,1828.0,-0.154400374758,-78.3859133223,0.0,0.0,1.0
168000,4,3,2,255.0,-0.1367941,-78.47363229999999,0.0,0.0,1.0
69900,3,2,1,114.0,-0.0891264,-78.42804799999999,0.0,0.0,1.0
115000,3,3,1,140.0,-0.335383897970999,-78.4231615198,0.0,0.0,1.0
690,3,2,2,127.0,-0.2320259,-78.3369554,0.0,0.0,1.0
190000,4,4,2,380.0,-0.200986,-78.3916394,0.0,0.0,1.0
195000,4,3,2,315.0,-0.197548,-78.4801671,0.0,0.0,1.0
580000,4,3,6,737.0,-0.190079381915683,-78.4489304717224,0.0,0.0,1.0
890000,3,4,4,818.0,-0.182909999999999,-78.383019,0.0,0.0,1.0
600000,4,4,2,400.0,-0.1770622,-78.3719676,0.0,0.0,1.0
485000,5,4,6,572.0,-0.2151522,-78.43203849999999,0.0,0.0,1.0
325000,3,3,1,360.0,-0.2087466,-78.4848844,0.0,0.0,1.0
465000,4,5,4,980.0,-0.2449654,-78.5029992,0.0,0.0,1.0
799000,5,6,2,944.0,-0.192758436808503,-78.3831697576359,0.0,0.0,1.0
125000,3,2,2,227.0,-0.325570733349999,-78.4566304371,0.0,0.0,1.0
110000,4,2,2,207.0,-0.275886143352612,-78.45883443748802,0.0,0.0,1.0
120000,3,3,2,135.0,-0.104659981911903,-78.50148879423891,0.0,0.0,1.0
282665,3,4,2,361.0,-0.155602,-78.3728456,0.0,0.0,1.0
260000,3,3,2,400.0,-0.2107252,-78.4410895,0.0,0.0,1.0
510000,3,4,4,472.0,-0.210691,-78.39559860000001,0.0,0.0,1.0
400000,5,4,4,718.0,-0.187010951417002,-78.44696173030547,0.0,0.0,1.0
398000,4,5,4,365.0,-0.1733133,-78.4229127,0.0,0.0,1.0
290000,9,8,6,509.0,-0.107021,-78.49828959999999,0.0,0.0,1.0
138500,4,4,2,185.0,-0.319636359392467,-78.46996864774627,0.0,0.0,1.0
590000,3,4,7,2121.0,-0.155601999999999,-78.3728456,0.0,0.0,1.0
110000,3,2,1,114.0,-0.151240958322999,-78.5001413307,0.0,0.0,1.0
80000,3,2,1,120.0,-0.103641195625589,-78.46140570806473,0.0,0.0,1.0
105000,3,2,2,179.0,-0.2714131,-78.45510019999999,0.0,0.0,1.0
258000,3,2,4,928.0,-0.3035751,-78.4502219,0.0,0.0,1.0
295000,3,3,2,400.0,-0.2038414,-78.4496168,0.0,0.0,1.0
119000,3,2,2,196.0,-0.19379572727676,-78.39704279525446,0.0,0.0,1.0
79990,3,2,1,120.0,-0.106806056110083,-78.44188906134488,0.0,0.0,1.0
80000,3,2,1,182.0,-0.077314695323511,-78.4207950550171,0.0,0.0,1.0
220885,3,2,2,218.0,-0.2107252,-78.44108949999999,0.0,0.0,1.0
1050000,4,4,4,1030.0,-0.200997399999999,-78.4330381,0.0,0.0,1.0
169900,11,5,4,495.0,-0.223077296152,-78.5143621921,0.0,0.0,1.0
599900,8,6,4,724.0,-0.1723433,-78.49100159999999,0.0,0.0,1.0
202068,3,2,2,152.0,-0.1967032,-78.4828957,0.0,0.0,1.0
215000,9,7,2,611.0,-0.242314587401999,-78.5107628106,0.0,0.0,1.0
319000,3,2,2,1000.0,-0.217203,-78.3968236,0.0,0.0,1.0
159000,3,3,2,140.0,-0.214334334624,-78.4003902222,0.0,0.0,1.0
225000,3,2,2,228.0,-0.1083197,-78.5041479,0.0,0.0,1.0
149500,3,2,2,185.0,-0.222954013284185,-78.41980548447427,0.0,0.0,1.0
290000,6,4,3,776.0,-0.1733298,-78.472799,0.0,0.0,1.0
404900,4,3,2,282.0,-0.1567987,-78.46240639999999,0.0,0.0,1.0
114500,3,2,4,226.0,-0.333321556216682,-78.42317586086106,0.0,0.0,1.0
64900,3,2,1,120.0,-0.0819386,-78.4255496,0.0,0.0,1.0
248000,3,2,2,175.0,-0.2034793,-78.4223019,0.0,0.0,1.0
580000,3,3,10,1950.0,-0.1069051,-78.4555238,0.0,0.0,1.0
390000,5,5,10,1260.0,-0.294200520599958,-78.45394049228643,0.0,0.0,1.0
78000,5,2,1,179.0,-0.089369406200145,-78.43903943603857,0.0,0.0,1.0
295000,4,4,3,359.0,-0.2256893,-78.3922181,0.0,0.0,1.0
122000,3,3,2,210.0,-0.13052404705505,-78.44220787357177,0.0,0.0,1.0
450000,3,3,4,473.0,-0.1057055,-78.5111939,0.0,0.0,1.0
142000,3,2,2,171.0,-0.211377640849999,-78.4026581741,0.0,0.0,1.0
129000,3,2,2,200.0,-0.1248558,-78.4760988,0.0,0.0,1.0
190000,3,3,2,160.0,-0.216636446272538,-78.44440510685422,0.0,0.0,1.0
85000,3,2,1,140.0,-0.27545857077069,-78.45799789210015,0.0,0.0,1.0
110000,4,4,2,149.0,-0.2160451,-78.4923143,0.0,0.0,1.0
120000,3,2,2,202.0,-0.3372072,-78.47705260000001,0.0,0.0,1.0
55555,3,1,1,99.0,-0.088203030821662,-78.45635024865723,0.0,0.0,1.0
114999,3,2,1,167.0,-0.270518499999999,-78.4695111,0.0,0.0,1.0
75000,3,2,1,109.0,-0.219638699999999,-78.382263,0.0,0.0,1.0
92000,3,3,1,160.0,-0.31149914085,-78.4950647333,0.0,0.0,1.0
580000,4,4,4,700.0,-0.2009974,-78.43303809999999,0.0,0.0,1.0
209245,3,3,2,213.0,-0.1928677,-78.4855485,0.0,0.0,1.0
135000,3,2,1,213.0,-0.202862830091752,-78.38523229035188,0.0,0.0,1.0
65000,4,2,2,138.0,-0.088709661166358,-78.456369693396,0.0,0.0,1.0
420000,12,4,4,496.0,-0.1733442,-78.4707654,0.0,0.0,1.0
117998,3,2,2,168.0,-0.1267057,-78.4740922,0.0,0.0,1.0
147000,3,2,2,143.0,-0.200525705937,-78.3927553953,0.0,0.0,1.0
73900,3,3,2,112.0,-0.0948703,-78.4259287,0.0,0.0,1.0
